English,Tagalog
to fall down,ibuwal
to fan,paypay
to feed,isubo
to festoon,gayak
to find,makita
to finish,magtapos
to finish off,ubos
to fish,mangisda
to flare out,magdingas
to flow,umagos
to free,ligtas
to gather,humagilap
to get angry,magalit
to give,bigyan
to give alms,ilimos
to give birth,manganak
to go,lumakad
to go,magpunta
to go down,naog
to grate,AGKUDKOD
to grate,kudkurin
to grind,gumiling
to grow,sumibol
to guide,ituro
to happen,mangyari
to harness,sinkaw
to harvest,ani
to harvest,anihin
to have,mayroon
to have time,may oras
to have to,kailangan
to hear,marinig
to hem,lilipan
to hinder,barahin
to hinder,ibara
to hire,mag-alkila
to hit,tipak
to hold dear,mahalin
to imprison,bilanggo
to increase,dagdag
to induce,yayain
to inherit,mana
to inquire,tanong
to insist,pilit
to instigate,manulsol
to insult,umalipusta
to intend,magbalak
to invert,magbaligtad
to invite,mag-anyaya
to joke,magbiro
to keep,iyo na ito
to keep off,ilagan
to kiss,humalik
to launder,maglaba
to lay,patong
to lay across,halang
to lend,magpahiram
to lick,dimol
to lie down,humiga
to lift,buhat
to like,maibigan
to like,umibig
to look for,humanap
to lose,mawalan
to love,ibigin
to lure,inakit
to maltreat,api
to maltreat,apihin
to manage,magmaneho
to marry,ikasal
to measure,magtakal
to measure,sumukat
to move,kumibo
to mumble,bulong
to need,kailanagan
to nibble,ngumatngat
to obstruct,hadlang
to offer,mag-alay
to organize,tatag
to paint,magpinta
to paint,pinta
to pass out,himatayin
to persuade,humimok
to photograph,kumuha ng larawan
to pick up,pulot
to pickle,buruhin
to pierce,saksak
to play with,laro
to play with,laruin
to portray,ilarawan
to pour out,mag-uho
to predict,hulaan
to profit,magtubo
to pull,humila
to pull out,bunutin
to pull out,hugot
to pull out,hugutin
to put over,magpatong
to question,tanungin
to rape,manggahasa
to reach,dumating
to reap,mag-ani
to recite,ibigkas
to recite,magbigkas
to redeem,tubos
to reduce,baba
to rent,magupa
to rent,alkila
to report,balitaan
to retreat,atras
to revolt,ialsa
to revolve,umikot
to ride,ilulan
to ridicule,alipustahin
to saute,gisahin
to save,ligtas
to scatter,ibudbod
to see,makita
to separate,layo
to shield,sumangga
to shout,humiyaw
to sleep,matulog
to smuggle,maglusot
to spank,paluhin
to split,magbiyak
to sprout,sibol
to squeeze,pisilin
to stab,saksakin
to stammer,umunu-uno
to sterilize,banlian
to stink,bumaho
to stir,kumibo
to stop,humantong
to stop,huminto
to stretch,mag-unat
to stuff,saksak
to supplement,dagdag
to supplement,idagdag
to surrender,isuko
to swallow,lulunin
to swallow,lunok
to swallow,lunukin
to take,kunin
to take after,mana
to take along,sama
to taste,tikman
to taste of,lumasa
to tear,sira
to tear down,wasak
to tease,tuksuhin
to tell,sabihin
to tell a lie,magsinungaling
to terminate,humantong
to think,magisip
to throw,balibagin
to thud,lumagpak
to tilt,tagal
to travel,maglakbay
to tread on,tapak
to trip,bayakirin
to try,magpili
to turn,lumiko
to turn aside,UMILING
to turn off,patay
to turn off,sarahan
to understand,maintindihan
to understand,maunawaan
to untie,magkalas
to use,gamitin
to vibrate,ug-og
to visit,bumisita
to visit,dalaw
to visit,ipasyal
to visit,magpasyal
to wait,maghintay
to wake up,gumising
to walk,lumakad
to wander,libot
to want,gusto
to wedge,magpasang
to weigh,timbangin
to wet,basain
to wish,gusto
to woo,suyuin
to work,magtrabaho
to work,gawain
to write,sumulat
today,ngayon
toe,daliri ng paa
together,magkasama
told,nagsabi
tommorrow,bukas
tongue,dila
tonight,ngayong gabi
too,din
too,rin
too much,masyado
tooth,ngipin
toothbrush,sipilyo
tootheache,sakit ng ngipin
toothless,bungi
toothpaste,kolget
topples,lumagpak
tournament,paligsahan
town,bayan
trample,padyak
trampled over,paldak
tranquil,payapa
trapped,nasilo
travel,paglalakbay
traversed,tinawid
tree,puno
tree trunk,puno
trembling,nanginginig
tricky,suwitik
trinity,trinidad
trio,tatluhan
trouncing,binubugbog
truant,magbulakbol
"true, correct",tuga
"true, correct",tunay
truly,nga
try,magpili
turbid,labo
turkey,pabo
turned off,patay
twofold,doble
type,uri
tyrannical,tiraniko
ugly,pangit
umbrella,payong
un-,di-
unanimous,pinagkakaisahan
unbalanced,talipya
unbalanced.,tawisk
uncle,amain
uncooked rice,bigas
under,sa ilalim ng
underlined,naguhitan
understand,tanto
unfortunate,parang nahulog sa balong katawan
united,nagkaisa
united,samasama
unkind,malupit
unload,diskargahin
unloading,deskarga
unripe,hilaw
unstitched,tastas
untamed,mailap
until,hanggang
upbraiding,minumura
upholstered,nag-adorno
urine,ihi
us,tayong
usa,estados unidos
used up,said
usurer,usurero
vacating,inaalisan
valley,lambak
valley,libis
velocity,hagibis
very,napaka-
very lucky,napakasuwerte
vexing,buwisit
vigor,lakas
village,baryo
violinist,biyolinista
visit,pagbisita
vociferous,bungalngal
volcano,bulkan
vote,bumoto
waddling,nagpaampang-ampang
wage,sahod
wail,tumili
wait,teka
waitress,seridora
waive,pabayaan
wake up,gumising
walk,lumakad
wall,dingding
wallow,magtampisaw
want,gusto
war,gera
warm,mainit
wash,hugasan
wasted,aksayahin
water buffalo,kalabaw
waterfall,talon
way,daan
way (path),daan
we,kami
we,tayo
weak,mahina
weather,panahon
weather,klima
wedding,kasal
week,linggo
weight,bumigat
well-adjusted,ugma
well-dressed,mabikas
well-esteemed,mahal
welt,banil
west,kanlura
wet,basa
whack,sampal
wheel,gulong
when,nang
when,kapag
when?,kailan
whenever,pag
where,nasaan
where?,nasaan
where?,nasaan
whereby,upang
whether,kung
whistle,humaginit
white,puti
who?,sino
whole,buong magdamag
whole night,buong magdamag
whore,puta
whose?,kanino
width,luwang
wild,ilap
wild chicken,labuyo
wildness,gaso
will,lakas
wind,hangin
window,bintana
window glass,salamin
wish,nais
with,sa
with hope,sana
wood,kahoy
wooed,nanligaw
word,salita
worked,nagtrabaho
worker,manggagawa
world,mundo
world,daigdig
worship,samba
wound,sugat
wrinkled,lukot
wrong,mali
year,taon
yellow,dilaw
yelp,biglang-sigaw
yes,oo
yesterday,kahapon
yet,pa
yonder,pumaroon
you,kita
you and i,kita
you learn,tatutunan
young,bata
young leaves,usbong
your,mo
youthful,kabataan
